parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,wise1,wise2,av50
       1.1475242,       11.092825,11.739269 ,10.344733 ,      9.33500,      8.74900,      8.59900,      8.49100,      8.56800,      0.57539603
       1.1115007,       10.898600,11.526955 ,10.164574 ,      9.21100,      8.63800,      8.47600,      8.37200,      8.47000,      0.37720866
       1.6565077,       11.310831,11.842075 ,10.656187 ,      9.79500,      9.30600,      9.17600,      9.14300,      9.21800,      0.30145710
      0.67895340,       11.262136,11.936734 ,10.498569 ,      9.43700,      8.83100,      8.67300,      8.58000,      8.68000,      0.37529384
      0.96361463,       11.272796,11.889075 ,10.543399 ,      9.59700,      8.95200,      8.85200,      8.76800,      8.85200,      0.35606310
       3.7362068,       11.272483,11.609556 ,10.783424 ,      10.2100,      9.92500,      9.85500,      9.80800,      9.82400,     0.087748085
       2.0630160,       11.486054,11.813606 ,11.00522  ,      10.4280,      10.1980,      10.1150,      10.0540,      10.0780,      0.18473469
      0.86192694,       10.388368,10.92474  ,9.732893  ,      8.86600,      8.36500,      8.26600,      8.19500,      8.28200,      0.13488090
       2.9521122,       10.068277,10.364207 ,9.641014  ,      9.15000,      8.90100,      8.82400,      8.77700,      8.80600,       0.0000000
      0.59559011,       11.217457,11.792834 ,10.520799 ,      9.60900,      9.07700,      8.95700,      8.88000,      8.95200,      0.23610902
       8.2631715,       10.454201,10.827975 ,9.949333  ,      9.42600,      9.02500,      8.95900,      8.91900,      8.96700,       0.0000000
       3.3487263,       9.8575730,10.127158 ,9.466332  ,      9.02500,      8.82900,      8.78400,      8.72300,      8.74200,      0.15302526
       2.9662292,       11.664337,12.052555 ,11.128442 ,      10.4770,      10.1130,      10.0470,      10.0230,      10.0620,      0.15242355
       4.0475591,       10.106787,10.395348 ,9.692252  ,      9.24100,      8.99800,      8.91600,      8.85700,      8.88200,      0.25399449
      0.46266887,       12.441839,13.067544 ,11.705502 ,      10.7010,      10.1300,      10.0170,      9.92700,      10.0340,      0.46379173
       2.5774020,       9.5800320,9.86216   ,9.172681  ,      8.67900,      8.49300,      8.41600,      8.37500,      8.38900,      0.20363484
      0.14803820,       11.787472,12.735094 ,10.846765 ,      9.49600,      8.68200,      8.42900,      8.35300,      8.46600,      0.61155985
       6.5488779,       10.215555,10.51477  ,9.79503   ,      9.33900,      9.05200,      9.00400,      8.97600,      9.00400,       0.0000000
       5.6667135,       10.331491,10.630897 ,9.893891  ,      9.37800,      9.08900,      9.04000,      8.98800,      9.01600,     0.082357321
       4.1599317,       10.032653,10.387817 ,9.548863  ,      9.02400,      8.71800,      8.63700,      8.59200,      8.63600,      0.26262140
      0.20453489,       11.894151,12.598485 ,11.107912 ,      10.0030,      9.31500,      9.17100,      9.08100,      9.19500,      0.32444130
       2.8199774,       10.747647,11.234285 ,10.132822 ,      9.35800,      8.88800,      8.79500,      8.73100,      8.80500,      0.13219667
       5.0463416,       10.563190,10.840318 ,10.115216 ,      9.63200,      9.36400,      9.25600,      9.16100,      9.17900,      0.30007982
       3.6703978,       11.093737,11.400692 ,10.650683 ,      10.1780,      9.89500,      9.86300,      9.80100,      9.84000,       0.0000000
       1.2200971,       11.309783,11.858357 ,10.638862 ,      9.74300,      9.24600,      9.13100,      9.04800,      9.11600,      0.30556751
       4.7266216,       11.002409,11.36865  ,10.500543 ,      9.89500,      9.60200,      9.54000,      9.51000,      9.55100,      0.12988187
       6.2363552,       10.678527,11.013173 ,10.2056675,      9.64400,      9.36900,      9.30900,      9.24800,      9.27500,     0.016049996
       2.9768525,       11.944260,12.299806 ,11.436142 ,      10.8640,      10.5960,      10.4910,      10.4540,      10.4760,      0.27875642
       1.3574402,       12.276094,12.853742 ,11.573264 ,      10.6590,      10.1530,      10.0310,      9.95000,      10.0160,      0.64070105
       3.8359313,       11.109177,11.430157 ,10.647547 ,      10.1380,      9.84200,      9.79900,      9.76900,      9.80400,       0.0000000
       2.9906189,       11.553723,11.864697 ,11.096539 ,      10.5870,      10.3050,      10.2510,      10.2100,      10.2400,     0.011526608
       10.685440,       10.578002,11.046193 ,9.980935  ,      9.28100,      8.82900,      8.71400,      8.69100,      8.75900,     0.059864756
      0.67631752,       11.546955,12.129258 ,10.846543 ,      9.88600,      9.37900,      9.24600,      9.17200,      9.26800,      0.36449058
       1.8815500,       11.077949,11.387361 ,10.623981 ,      10.1190,      9.84200,      9.74500,      9.73900,      9.76400,     0.025381606
       1.0574660,       10.365197,10.94663  ,9.668724  ,      8.71500,      8.17900,      8.02900,      7.95900,      8.03600,      0.26162157
       2.3557553,       11.495375,11.872772 ,10.970397 ,      10.3640,      9.99900,      9.92300,      9.88000,      9.92200,       0.0000000
       2.9891400,       11.326544,11.6617565,10.840998 ,      10.2740,      9.99500,      9.90700,      9.88300,      9.91500,      0.25916468
      0.47842924,       10.460800,11.341755 ,9.567667  ,      8.28300,      7.49100,      7.27000,      7.18800,      7.34300,      0.50152727
      0.83505816,       12.071360,12.643363 ,11.37999  ,      10.4820,      9.90500,      9.77400,      9.73500,      9.81500,      0.17481099
      0.27815407,       12.205465,12.852275 ,11.450769 ,      10.3920,      9.74100,      9.62900,      9.56100,      9.61900,      0.28449771
       1.0133422,       11.058945,11.754314 ,10.284203 ,      9.25200,      8.65800,      8.45000,      8.33900,      8.47800,      0.31239904
       2.8325879,       10.935142,11.198146 ,10.544801 ,      10.1060,      9.93200,      9.83500,      9.82000,      9.84200,       0.0000000
       11.509778,       10.341620,10.802316 ,9.756415  ,      9.05900,      8.65700,      8.54900,      8.47600,      8.53600,     0.019886531
       8.0548943,       10.518298,10.894294 ,10.007717 ,      9.42300,      9.08700,      9.00900,      8.94600,      8.99900,     0.037351572
       3.8874639,       9.8428755,10.093717 ,9.480835  ,      9.08700,      8.92900,      8.80300,      8.76500,      8.79700,      0.14277314
      0.98486695,       11.812115,12.36177  ,11.142234 ,      10.2690,      9.76200,      9.64400,      9.57200,      9.66200,      0.19085346
       2.2383660,       11.452845,11.726265 ,11.036489 ,      10.5770,      10.3410,      10.3180,      10.2380,      10.2820,     0.055143335
      0.76045674,       10.058848,10.809083 ,9.247893  ,      8.10200,      7.35800,      7.18400,      7.00400,      7.24500,      0.15289165
      0.93859081,       10.624936,11.173363 ,9.96226   ,      9.09500,      8.60800,      8.40400,      8.39400,      8.48400,      0.18247281
       1.7939860,       10.437787,10.676196 ,10.0743475,      9.69300,      9.51100,      9.47300,      9.42600,      9.44000,       0.0000000
      0.85518027,       10.759944,11.329538 ,10.075526 ,      9.17100,      8.63100,      8.49300,      8.40700,      8.50000,      0.49327574
      0.90354509,       10.862788,11.456134 ,10.162852 ,      9.26800,      8.68500,      8.54100,      8.47000,      8.59900,      0.25951772
       1.3032971,       9.9011420,10.500477 ,9.200776  ,      8.27400,      7.68200,      7.55700,      7.44500,      7.56800,      0.46867931
       3.1353653,       10.544897,10.799556 ,10.154091 ,      9.72100,      9.47700,      9.43700,      9.37600,      9.42000,     0.088592135
       4.7349311,       11.677295,12.057474 ,11.1476755,      10.5280,      10.1830,      10.0930,      10.0330,      10.0550,      0.33939782
      0.61599508,       10.762181,11.488878 ,9.96394   ,      8.80700,      8.15000,      7.97600,      7.88800,      8.01400,      0.21470481
      0.96461064,       10.767731,11.345838 ,10.077747 ,      9.19200,      8.63000,      8.48800,      8.41000,      8.51700,      0.30029943
       3.0778127,       11.167701,11.498087 ,10.689184 ,      10.1490,      9.83300,      9.76000,      9.74500,      9.76200,     0.022559194
       7.9906980,       9.7404230,10.035592 ,9.315086  ,      8.85900,      8.61600,      8.49800,      8.43800,      8.44800,     0.068565218
       2.4091711,       11.440843,11.841685 ,10.9017515,      10.2510,      9.94100,      9.82600,      9.79700,      9.82800,      0.24364074
       4.3643997,       11.047531,11.406563 ,10.540673 ,      9.92800,      9.63100,      9.57100,      9.50300,      9.52400,      0.38467010
      0.78168211,       11.531731,12.159431 ,10.790861 ,      9.78500,      9.21200,      9.05200,      8.95400,      9.04000,      0.72073638
      0.56006529,       10.951666,11.678079 ,10.154365 ,      9.05200,      8.38500,      8.18900,      8.09000,      8.20500,      0.55611350
       4.9073411,       10.796755,11.13499  ,10.326535 ,      9.78200,      9.52800,      9.44100,      9.40800,      9.46600,     0.042166019
       1.6768757,       10.671567,11.041673 ,10.164266 ,      9.58600,      9.27400,      9.19900,      9.12400,      9.13800,      0.19410410
       3.4941064,       11.124858,11.430329 ,10.680821 ,      10.1980,      9.93800,      9.87500,      9.81100,      9.85500,      0.11385777
       3.5841176,       9.6834520,9.943658  ,9.30843   ,      8.86100,      8.72200,      8.64300,      8.59200,      8.61600,      0.14091556
       3.0147622,       11.276886,11.546081 ,10.873086 ,      10.4440,      10.2590,      10.1920,      10.1440,      10.1720,       0.0000000
       1.0545203,       11.457455,12.113898 ,10.698688 ,      9.66700,      9.06500,      8.89600,      8.84200,      8.90400,      0.61810814
       5.7238646,       9.9752530,10.274022 ,9.554248  ,      9.12600,      8.85000,      8.78600,      8.75300,      8.78800,       0.0000000
       1.4937698,       11.437260,11.888409 ,10.845092 ,      10.1000,      9.68200,      9.59300,      9.54800,      9.59100,      0.14171737
      0.49297896,       10.332475,11.177658 ,9.470062  ,      8.23500,      7.46200,      7.23200,      7.08100,      7.31300,      0.54860609
       2.8671395,       10.494700,10.7797985,10.075966 ,      9.61800,      9.36000,      9.30400,      9.25700,      9.29700,       0.0000000
       2.4968087,       11.602488,12.037995 ,11.025684 ,      10.3110,      9.95300,      9.88600,      9.78900,      9.84600,     0.090174243
       2.6009302,       11.532427,11.841309 ,11.075056 ,      10.5450,      10.2450,      10.1850,      10.1370,      10.1870,      0.12150808
      0.81695275,       11.062814,11.611343 ,10.398267 ,      9.59000,      9.03700,      8.94600,      8.83100,      8.92600,       0.0000000
